objectid,name,totalvotes,usersrated
144189,Fire in the Lake,62,1899
144797,Argent  The Consortium,64,2668
17405,1846  The Race for the Midwest,48,1806
236191,London (Second Edition),55,2735
151022,Baseball Highlights  2045,70,3205
11,Bohnanza  Fan Edition,538,35436
159508,AquaSphere,97,5931
12942,No Thanks!,223,18582
42776,Gears of War  The Board Game,127,4458
245934,\u6d3b\u5728\u7576\u4e0b,60,3137
9625,Struggle of Empires  Deluxe Edition,130,3652
113924,Zombicide,245,15144
1513,The Republic of Rome,126,3796
156009,Port Royal,167,10718
183251,Karuba,84,7414
116998,Thunderstone Advance  Towers of Ruin,93,4461
91312,Discworld  Ankh-Morpork,183,8651
143519,Quantum,113,5994
174785,Mare Nostrum  Empires,61,3097
171,Chess,309,25642
271896,Star Wars  Outer Rim,80,2739
153938,Camel Up,304,20420
130960,Triumph & Tragedy,76,1628
6249,Der Palast von Alhambra,611,26424
42215,Tobago,173,9847
172308,Broom Service,138,6957
121408,Trains,79,7249
58281,Summoner Wars,96,5954
150997,Shadows of Brimstone  Swamps of Death,17,2047
121288,Dixit  Journey,28,3973
163166,One Night Ultimate Werewolf Daybreak,20,4311
233312,Stuffed Fables,42,2900
4390,Carcassonne  Hunters and Gatherers,151,10473
30869,Thebes,193,8771
50750,Belfort,153,5689
128780,Pax Porfiriana,86,2592
142379,Escape Plan,99,2413
3307,Wallenstein,58,3433
266524,PARKS,55,2158
240196,Betrayal Legacy,39,2122
134726,Smash Up  Awesome Level 9000,25,6167
131357,\u30af\u30fc,389,31678
135219,The Battle of Five Armies,25,2074
212445,Blood Bowl (2016 edition),21,1829
181521,Warhammer Quest  The Adventure Card Game,91,4514
84419,Space Empires  4X,94,2722
24508,Taluva,170,7272
65532,Defenders of the Realm,105,5076
503,Through the Desert,214,12143
28023,Jamaica,234,14685
160495,ZhanGuo,54,2694
1353,Time's Up!,56,4705
196326,Love Letter Premium,58,3371
205398,Citadels,94,5047
180511,Shakespeare,80,3453
70512,Luna  In the Domain of the Moon Priestess,77,4093
88,Torres,116,8217
156858,Black Orchestra,53,3198
126792,Myrmes,79,4743
586,Up Front,46,2082
117959,\u62c9\u65af\u7dad\u52a0\u65af Las Vegas,136,8225
30380,Cuba,140,7658
216734,Dice Throne  Season One,44,3076
3201,Lord of the Rings  The Confrontation,55,6323
20963,Fury of Dracula (Second Edition),295,8810
37904,Formula D,191,15861
21763,Mr. Jack,172,14107
10547,Betrayal at House on the Hill,412,32954
203416,Exit  The Game \u2013 The Pharaoh's Tomb,59,4335
155624,Specter Ops,118,5125
36235,The Duke,30,3530
170561,Valeria  Card Kingdoms,54,3343
282524,Horrified,50,2050
249259,War Chest,42,1838
123540,Tokaido,207,17698
113294,Escape  The Curse of the Temple,171,14613
162007,Steampunk Rally,75,5155
15364,Vegas Showdown,124,5952
111799,Cuba Libre,63,2191
9823,Advanced Squad Leader  Starter Kit #1,42,2248
192457,Cry Havoc,104,5243
234277,Nusfjord,76,2751
46,Medici,132,6811
68425,Eminent Domain,125,8928
13004,The Downfall of Pompeii,137,6971
158889,Summoner Wars  Alliances Master Set,14,1472
269210,Twice As Clever,51,2689
79127,Star Trek  Fleet Captains,68,3049
179803,Arcadia Quest  Inferno,17,1654
269207,The Taverns of Tiefenthal,51,2416
168584,Love Letter  Batman,45,4678
73761,K2,154,8215
167400,Ashes  Rise of the Phoenixborn,74,4689
55600,Shipyard,91,3543
2163,Space Hulk,40,3532
154825,Arkwright,57,1736
24800,Conflict of Heroes  Awakening the Bear! \u2013 Russia 1941-42,80,2919
18098,Napoleon's Triumph,66,1655
107529,Kingdom Builder,291,17583
31563,Middle-Earth Quest,132,3810
226522,Exit  The Game \u2013 Dead Man on the Orient Express,22,1771
263918,Cartographers  A Roll Player Tale,41,2279
146278,Tash-Kalar  Arena of Legends,120,5488
137988,Zombicide Season 2  Prison Outbreak,36,3934
100423,Elder Sign,362,20480
22345,Yspahan,176,7550
235802,Too Many Bones  Undertow,32,1044
5782,Coloretto   10 years edition,288,16627
188866,Awkward Guests,67,2128
244271,Dice Throne  Season Two \u2013 Battle Chest,25,1484
26997,1989  Dawn of Freedom,39,1912
143741,BANG! The Dice Game,250,17458
38996,Washington's War,33,2262
171499,Cacao,90,7060
173442,Empires  Age of Discovery,39,1708
245654,Vas\u00fatvonal  S\u00f6t\u00e9tk\u00e9k Kiad\u00e1s,55,3989
110277,Among the Stars,94,6368
132018,Churchill,84,2128
170416,Vast  The Crystal Caverns,99,5140
143515,Gl\u00fcck Auf,65,4028
202426,Sidereal Confluence  Trading and Negotiation in the Elysian Quadrant,47,1922
43528,World Without End,96,4349
213893,Yamata\u00ef,117,4680
251247,Barrage,93,2022
193558,Das Orakel von Delphi,53,3704
113997,Tajemnicze Domostwo,69,4643
168435,Between Two Cities,129,8595
230253,Star Realms  Frontiers,25,1565
173064,Leaving Earth,97,1952
41002,Vasco da Gama,104,4160
232219,Dragon Castle,54,4041
47185,Warhammer  Invasion,78,5519
242574,Century  Eastern Wonders,44,4189
153016,Telestrations  12 Player Party Pack,23,1887
29603,D-Day at Omaha Beach,64,1370
148575,Marvel Dice Masters  Avengers vs. X-Men,47,5353
160499,King of New York,116,12744
244992,The Mind,189,13174
156336,Onirim (second edition),103,6583
117915,Yedo,119,3292
166384,Spyfall,166,16510
72321,The Networks,49,4440
131287,Panamax,74,3342
198953,Pax Renaissance,77,1543
162286,Super Motherload,72,3028
169654,Tiefseeabenteuer,127,8255
262215,Blackout  Hong Kong,73,2372
179275,One Deck Dungeon,127,6213
7717,Carcassonne  The Castle,71,7170
30957,Tribune  Primus Inter Pares,89,4293
177590,13 Days  The Cuban Missile Crisis,36,3209
224710,Zombicide  Green Horde,40,2143
203417,Exit  The Game \u2013 The Secret Lab,52,4524
91872,Dungeons & Dragons  The Legend of Drizzt Board Game,81,5168
224597,Warhammer Underworlds  Shadespire,33,2201
156943,Saint Petersburg (second edition),26,2514
69789,Ascension  Deckbuilding Game,198,10968
2955,Mexica,71,4603
483,Diplomacy,267,11482
82421,Summoner Wars  Phoenix Elves vs Tundra Orcs,16,2466
165401,Wir sind das Volk!,39,1723
35570,Tinners' Trail,95,3712
699,HeroQuest,134,10137
103886,Star Wars  The Card Game,61,5047
1035,Squad Leader,45,3004
193949,Star Trek  Ascendancy,49,2224
244228,Reef,58,5010
132028,Conflict of Heroes  Awakening the Bear! \u2013 Operation Barbarossa 1941 (second edition),22,1626
41066,Virgin Queen,58,1478
156689,Legendary  A Marvel Deck Building Game \u2013 Villains,22,2386
139898,Brew Crafters,34,2550
200147,Kanagawa,83,5855
82420,Summoner Wars  Guild Dwarves vs Cave Goblins,13,2253
71721,Space Hulk  Death Angel \u2013 The Card Game,283,11579
528,Z\u00c8RTZ,28,3721
21882,Blue Moon City,190,7335
28181,Combat Commander  Pacific,22,1354
94,Union Pacific,78,4121
20100,Wits & Wagers  Deluxe Edition,117,12445
12002,Jambo,84,7779
40628,Finca,183,6481
12891,Friedrich Jubil\u00e4umsedition,94,2416
220520,Caverna  Cave vs Cave,48,3944
12962,Reef Encounter,123,4867
163602,XCOM  The Board Game,157,7260
156566,Lords of Xidit,79,4666
137269,Spyrium,121,5497
151004,Smash Up  Science Fiction Double Feature,14,3497
65901,Age of Industry,76,2808
2453,Tessellation,383,20968
2181,Bridge,56,2789
256916,Concordia Venus,25,1117
432,Take 6!,335,17154
161417,Red7,149,10821
171273,FUSE,74,6058
119788,Hyperborea,109,4050
258036,Between Two Castles of Mad King Ludwig,42,2754
2398,Cribbage,107,7485
12902,Carcassonne  The City,49,4089
201825,Ex Libris,51,3894
183840,Oh My Goods!,78,7625
191051,Outlive,55,2972
145659,Scoville,83,4378
27976,Heroscape Master Set  Swarm of the Marro,14,2184
26566,Homesteaders,74,3346
1345,The Traders of Genoa,138,5797
220,High Society,127,7405
148319,Tragedy Looper,85,3715
9440,Maharaja  The Game of Palace Building in India,94,4767
1041,San Marco,168,4126
155362,Ca$h 'n Guns (Second Edition),116,11277
194879,Not Alone,100,6492
491,Web of Power,83,3268
8125,Santiago,138,4698
154458,Akrotiri,27,3184
129948,The Palaces of Carrara,63,3674
53953,Thunderstone,159,9802
108784,Ascension  Storm of Souls,43,3244
202408,Adrenaline,75,4862
256730,Pipeline,71,1741
13642,Louis XIV,144,5251
98351,Core Worlds,65,3799
51,Ricochet Robots,96,7520
106217,Hawaii,74,3937
45,Perudo,171,11609
175117,Celestia,84,6899
29368,Last Night on Earth  The Zombie Game,372,13223
69779,Polis  Fight for the Hegemony,40,1934
201921,Tiny Epic Quest,74,5153
158275,Marvel Dice Masters  Uncanny X-Men,20,3545
108906,Thunder Alley,79,2918
26990,Container,111,4177
52461,Legacy  The Testament of Duke de Crecy,88,3780
197443,Fugitive,36,3104
66356,Dungeons & Dragons  Wrath of Ashardalon Board Game,91,5496
181687,The Pursuit of Happiness,51,3284
240,Britannia,151,3922
169124,Flick 'em Up!,62,6801
172047,The Others,65,2962
37380,Roll Through the Ages  The Bronze Age,184,11127
98229,Pictomania,42,2892
170624,Crusaders  Thy Will Be Done,35,1900
260605,Camel Up (Second Edition),31,1716
191977,The Castles of Burgundy  The Card Game,92,5031
226320,My Little Scythe,41,2571
16747,Tumblin-Dice,49,3650
122298,Morels,62,6452
231581,AuZtralia,73,2302
904,Hollywood Blockbuster,106,4897
8051,Attika,188,6213
65244,Forbidden Island \u7981\u5fcc\u4e4b\u5c9b,391,37660
223040,Fantasy Realms,56,2617
177678,Signorie,51,2248
95064,Ascension  Return of the Fallen,24,3043
160851,Lanterns  The Harvest Festival,80,8480
72225,CO\u2082,94,3543
233247,Sid Meier's Civilization  A New Dawn,54,3157
89409,BattleCON  War of Indines,27,1653
174570,Legendary Encounters  A Predator Deck Building Game,36,2200
158435,Dogs of War,52,2210
147151,Concept,97,13336
939,Star Wars  The Queen's Gambit,41,2028
91514,\u30ad\u30e3\u30d7\u30c6\u30f3\u30fb\u30ea\u30ce,49,7080
207830,5-Minute Dungeon,88,4997
171669,Discoveries  The Journals of Lewis and Clark,63,4040
15512,Incan Gold,160,15463
19600,Antike,116,4506
554,La Citt\u00e0,88,4978
85897,Thunderstone  Dragonspire,34,2585
207243,The City of Kings,74,1578
30645,Tammany Hall,74,3118
163839,Feudum,71,2064
41,Can't Stop!,180,11285
38054,Snow Tails,91,5759
27588,Zooloretto,181,13288
150145,Skull King,57,2784
179172,Unfair,56,3092
168917,Smash Up  Pretty Pretty Smash Up,8,2912
45986,Stronghold,92,3296
195560,Wasteland Express Delivery Service,60,2254
203427,Fabled Fruit,83,4368
161866,Zombicide Season 3  Rue Morgue,23,2211
131646,Merchant of Venus (second edition),65,3427
160018,Smash Up  Monster Smash,10,2683
66505,The Speicherstadt,123,4561
135779,A Fake Artist Goes to New York,28,3448
2093,Mahjong,88,5973
165838,Space Hulk (fourth edition),26,1449
59946,Dungeons & Dragons  Castle Ravenloft Board Game,152,8019
200077,Mint Works,91,4211
180680,Automobiles,26,2381
224,History of the World,97,4261
1301,Netrunner,31,2266
104363,Rex  Final Days of an Empire,103,4022
72287,Mr. Jack Pocket,42,6926
204516,878 Vikings  Invasions of England,55,1937
195137,Catacombs (Third Edition),27,1852
22825,Tide of Iron,103,3667
104710,Wiz-War (eighth edition),77,4436
15817,Manilla,87,5239
1822,Wilderness War,32,1597
217780,Gentes,45,1830
154086,Gold West,27,2029
156776,Warhammer 40,30,2635
60,Vinci,64,3864
67492,Battles of Westeros,31,2695
131260,Qwixx,95,7794
234671,Pandemic  Rising Tide,20,1600
190082,Whitehall Mystery,52,1610
256382,Disney Villainous,102,5296
141517,A Study in Emerald,103,2981
150999,Valley of the Kings,65,3827
222514,Batman  Gotham City Chronicles,43,1627
178336,World's Fair 1893,45,2865
55427,Mr. Jack in New York,32,2792
204027,Cottage Garden,67,6005
157403,Black Fleet,72,4539
218333,Rhino Hero  Super Battle,24,2547
8045,Princes of the Renaissance,47,2105
182340,Star Trek  Frontiers,41,1305
1465,Wizard,106,7408
223953,Kitchen Rush,36,2043
216459,The Lost Expedition,118,3627
241724,Villagers,57,2297
175324,Fog of Love,45,3750
255692,New Frontiers,36,1492
