objectid,cat1,cat2,cat3,cat3,cat4,cat5
27162,City Building, Dice, Fantasy, Medieval,NaN,NaN
128996,Age of Reason, War, American Revolutionary War, Educational, War,NaN
165722,Dexterity, Real-time,NaN,NaN,NaN,NaN
11170,Adventure, Fantasy, Fighting, Miniatures, Sci_Fi,NaN
5404,Ancient, Economic,NaN,NaN,NaN,NaN
157969,Bluffing, card, Humor, Medieval, Negotiation, Adaptation
250458,Civilization, Medieval, Travel,NaN,NaN,NaN
150658,Dice, Environmental, Medical,NaN,NaN,NaN
246192,card, Sci_Fi,NaN,NaN,NaN,NaN
137408,War, Renaissance,NaN,NaN,NaN,NaN
146791,Adventure, American West, Exploration, Fantasy, Fighting, Horror
242302,Dice, Sci_Fi, Space Exploration,NaN,NaN,NaN
111341,Civilization, Economic, industry_manuf, Transportation,NaN,NaN
712,Fantasy, Fighting, Miniatures, Sports,NaN,NaN
128671,Ancient, Fighting, Miniatures, Adaptation, Negotiation,NaN
229220,Civilization, Farming,NaN,NaN,NaN,NaN
209418,card, Medieval,NaN,NaN,NaN,NaN
161614,Economic,NaN,NaN,NaN,NaN,NaN
17226,Adventure, Exploration, Fantasy, Fighting, Miniatures,NaN
136063,Adventure, Fantasy, Sci_Fi,NaN,NaN,NaN
83330,Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures
65781,City Building, Economic,NaN,NaN,NaN,NaN
95527,Dice, Economic, Farming, War,NaN,NaN
215341,card, Fantasy,NaN,NaN,NaN,NaN
875,City Building, Civilization, Economic, industry_manuf, Transportation,NaN
177639,Animals, Fighting, Sci_Fi,NaN,NaN,NaN
34219,card, Medieval, Religious,NaN,NaN,NaN
187617,Adventure, Exploration, War, Adaptation, Sci_Fi, Travel
102652,card, Adaptation, Fighting,NaN,NaN,NaN
192153,Horror, Mythology, Adaptation,NaN,NaN,NaN
162082,Civilization, Mythology,NaN,NaN,NaN,NaN
58421,Ancient, Farming,NaN,NaN,NaN,NaN
170771,Adventure, Fantasy, Fighting, Miniatures,NaN,NaN
183562,Aviation, Collectible, Miniatures, Adaptation, Sci_Fi, War
98778,card, Deduction, Memory,NaN,NaN,NaN
62222,War, War,NaN,NaN,NaN,NaN
36553,Humor, Adaptation, Party Game,NaN,NaN,NaN
105551,Civilization, Economic, Exploration, War, Negotiation, Renaissance
155987,card, Fantasy, Mythology, Sci_Fi,NaN,NaN
62227,War, Political, War,NaN,NaN,NaN
184921,Animals, Medieval, Territory Building,NaN,NaN,NaN
158899,American West, Fighting, Trains,NaN,NaN,NaN
97786,Fantasy, Fighting, Territory Building,NaN,NaN,NaN
13,Negotiation,NaN,NaN,NaN,NaN,NaN
171668,card, War,NaN,NaN,NaN,NaN
150,Dexterity, Childrens Game, Party Game, Racing, Sports,NaN
206941,card, Trains,NaN,NaN,NaN,NaN
133848,Sci_Fi,NaN,NaN,NaN,NaN,NaN
119506,American War, Economic, Educational, Political,NaN,NaN
147949,Bluffing, card, Deduction, Horror, Party Game,NaN
127398,Adventure, Fantasy, Fighting, Puzzle,NaN,NaN
43570,Adventure, card, Fighting, Adaptation, Pirates,NaN
133038,Adventure, card, Fantasy, Fighting,NaN,NaN
47,City Building, Economic, Negotiation,NaN,NaN,NaN
90419,Aviation, Economic,NaN,NaN,NaN,NaN
42052,Economic, Farming, industry_manuf,NaN,NaN,NaN
218603,strategy, Environmental,NaN,NaN,NaN,NaN
125618,card, Pirates,NaN,NaN,NaN,NaN
128271,City Building, Environmental, Sci_Fi, Territory Building,NaN,NaN
15062,Adventure, Bluffing, Deduction, Fantasy, Medieval, Mythology
156546,card, Humor, Adult, Party Game, Print & Play,NaN
478,Bluffing, card, City Building, Deduction, Fantasy, Medieval
194607,card, Fantasy,NaN,NaN,NaN,NaN
92415,Bluffing, card, Party Game,NaN,NaN,NaN
31999,strategy,NaN,NaN,NaN,NaN,NaN
73171,Adventure, Bluffing, Fighting, Miniatures, Sci_Fi, secret_agent
34119,Adventure, Arabian, Book, Exploration, Fantasy, Travel
244711,Age of Reason, Travel,NaN,NaN,NaN,NaN
475,Bluffing, Political,NaN,NaN,NaN,NaN
241451,card, Fantasy, Sci_Fi,NaN,NaN,NaN
27173,Economic, Medieval, War, Territory Building,NaN,NaN
193042,Dexterity, Party Game,NaN,NaN,NaN,NaN
163968,Ancient, card, Mythology,NaN,NaN,NaN
191862,Ancient,NaN,NaN,NaN,NaN,NaN
372,card, Deduction,NaN,NaN,NaN,NaN
3685,Medieval, War,NaN,NaN,NaN,NaN
