object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,total_votes,users_rated,average,baverage,stddev,complexity,site_views
7748,The Italian Front  1915-1918,2003,2,2,360,360,War, War,error,error,error,error,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN,3,71,7.76056,5.59224,1.21614,3.1,27880
257667,Tag City,2018,2,4,20,30,Adaptation, Dice, Puzzle,error,error,error,Dice Rolling, Paper-and-Pencil,NaN,NaN,NaN,NaN,3,106,7.02877,5.59218,1.43456,1.5,12833
158876,British Vs Pirates  Volume 1,0,2,6,45,60,Miniatures, War, War, Pirates,error,error,Dice Rolling, Modular Board,NaN,NaN,NaN,NaN,3,80,7.45538,5.59218,1.66571,2.5,19572
216,Atlanteon,1992,2,2,30,30,strategy, War,error,error,error,error,Area Majority / Influence, Tile Placement,NaN,NaN,NaN,NaN,8,690,5.81417,5.59218,1.42697,2.0274,82748
256779,Exceed  Seventh Cross \u2013 Hunters vs. Demons Box,2018,2,2,5,30,Fantasy, Fighting, Horror, Adaptation,error,error,Hand Management, Point to Point Movement, Variable Player Powers,NaN,NaN,NaN,1,51,8.34118,5.59215,1.42996,2.5,2303
172006,Shadowstar Corsairs,2016,2,5,90,150,Adventure, Miniatures, Sci_Fi, Space Exploration, Territory Building,error,Area Majority / Influence, Grid Movement, Modular Board, Pick-up and Deliver, Take That, Variable Player Powers,8,91,7.19451,5.59213,1.74346,3.1429,50605
218314,3 Secrets,2017,2,8,15,15,Deduction,error,error,error,error,error,Cooperative Game,NaN,NaN,NaN,NaN,NaN,5,271,6.05915,5.59211,1.57911,1.4286,19403
104555,The Blue Lion,2011,2,2,15,15,Adaptation,error,error,error,error,error,Memory, Pattern Building,NaN,NaN,NaN,NaN,1,317,5.95767,5.59211,1.31587,1.2609,27742
31410,Im Reich der Jadeg\u00f6ttin,2007,2,4,60,60,Adventure, Exploration,error,error,error,error,Modular Board, Set Collection, Tile Placement,NaN,NaN,NaN,6,174,6.28994,5.59204,1.12915,2.0588,24836
205766,Mino & Tauri,2016,2,4,15,15,Childrens Game, Deduction, Maze,error,error,error,Cooperative Game, Elapsed Real Time Ending, Hidden Movement, Real-Time,NaN,NaN,2,135,6.55877,5.59194,1.32223,1,13162
28004,Legendary Dungeoneer  Wrath of the Serpent Goddess,2007,2,4,60,60,Adventure, card, Dice, Exploration, Fantasy,error,Dice Rolling, Modular Board, Tile Placement, Variable Player Powers,NaN,NaN,4,114,6.73916,5.5919,1.38061,2.625,40965
20623,Alien City,2002,2,2,40,40,strategy, City Building, Print & Play, Territory Building,error,error,Modular Board, Tile Placement,NaN,NaN,NaN,NaN,8,78,7.13077,5.59188,1.40661,3.1429,49069
265754,Exceed  Street Fighter \u2013 M. Bison Box,2019,2,2,15,25,Fighting, Adaptation,error,error,error,error,Hand Management, Point to Point Movement, Variable Player Powers,NaN,NaN,NaN,0,44,8.59091,5.59182,0.917957,0,2375
59223,Diego Drachenzahn,2009,2,4,15,15,Dexterity, Bluffing, Childrens Game, Fantasy,error,error,Action / Dexterity, Bluffing, Childrens Game, Fantasy,NaN,NaN,6,278,6.05281,5.5918,1.36663,1.1875,34472
150533,Samurai Gardener,2013,2,5,15,15,strategy, Real-time,error,error,error,error,Tile Placement,NaN,NaN,NaN,NaN,NaN,4,258,6.12549,5.5918,1.2599,1.5,37474
34375,Go Nuts!,2008,2,4,15,15,Animals, Childrens Game, Dice, Number,error,error,Dice Rolling, Push Your Luck,NaN,NaN,NaN,NaN,7,281,6.08559,5.59177,1.41009,1.0571,30479
9360,The Royal Navy,1984,2,3,120,120,War, War, War, War,error,error,Hexagon Grid,NaN,NaN,NaN,NaN,NaN,0,70,7.34714,5.59176,1.22506,2.4615,31225
671,Bull Run  The First Major Battle of the American Civil War,1983,2,2,240,240,American War, War,error,error,error,error,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN,2,203,6.30635,5.59174,1.47777,3.0385,49534
87893,Take It or Leave It,2010,2,5,30,30,card, Dice,error,error,error,error,Dice Rolling,NaN,NaN,NaN,NaN,NaN,11,231,6.11397,5.59172,1.30726,1.3667,22430
220499,Mask of Moai,2017,2,6,30,60,Electronic, Maze, Party Game, Puzzle,error,error,Cooperative Game, Tile Placement, Time Track,NaN,NaN,NaN,1,85,7.10229,5.5917,1.55162,1,15270
186793,Barnyard Roundup,2016,2,6,10,20,strategy, Bluffing, Party Game,error,error,error,Hand Management, Set Collection, Take That,NaN,NaN,NaN,2,138,6.80239,5.59165,1.73259,1.3333,16073
102275,Lord of the Rings  The Adventure Deck Game,2011,1,1,5,5,Adventure, card, Fantasy, Adaptation, Print & Play,error,Card Drafting, Push Your Luck,NaN,NaN,NaN,NaN,4,117,6.88761,5.59161,1.49075,1.65,72994
232981,Tanto Cuore  Winter Romance,2018,2,4,30,60,card,error,error,error,error,error,Deck,NaN,NaN,NaN,NaN,NaN,1,62,7.90968,5.5916,1.47328,2,7805
192858,Mrs Thatcher's War  The Falklands,2017,1,1,100,250,War, Political, War,error,error,error,Area Majority / Influence, Area Movement, Chit-Pull System, Dice Rolling, Secret Unit Deployment, Simulation,6,56,8.10179,5.59156,1.58266,3,43140
49261,Kraby,2009,2,4,30,30,strategy, Animals, Childrens Game, Territory Building,error,error,Enclosure, Hand Management, Pattern Building, Stock Holding, Tile Placement,NaN,3,205,6.1999,5.59155,1.34171,2.0833,15265
