objectid,name,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime
198773,Codenames  Pictures XXL,2016,2,8,15,15
39683,At the Gates of Loyang,2009,1,4,60,120
21348,Ticket to Ride  M\u00e4rklin,2006,2,5,30,60
90137,Blood Bowl  Team Manager \u2013 The Card Game,2011,2,4,90,90
144592,Bruxelles 1893,2013,2,5,50,125
70323,King of Tokyo,2011,2,6,30,30
199042,Harry Potter  Hogwarts Battle,2016,2,4,30,60
154809,Nippon,2015,2,4,60,120
234487,Altiplano,2017,2,5,60,120
286096,Tapestry,2019,1,5,90,120
172,\u0e1a\u0e49\u0e32\u0e19\u0e19\u0e35\u0e49\u0e02\u0e32\u0e22!,1997,3,6,30,30
55670,Macao,2009,2,4,50,100
204305,Sherlock Holmes Consulting Detective  Jack the Ripper & West End Adventures,2017,1,8,60,120
123123,BattleCON  Devastation of Indines,2013,1,5,45,45
256226,Azul  Stained glass of Sintra \/ Les vitraux de Sintra,2018,2,4,30,45
66188,Fresco,2010,2,4,60,60
15987,Arkham Horror,2005,1,8,120,240
192458,51st State  Master Set,2016,1,4,60,90
166669,San Juan (Second Edition),2014,2,4,45,60
40354,Maria,2009,2,3,210,210
219513,Berenpark,2017,2,4,30,45
96913,Lancaster,2011,2,5,60,60
79828,A Few Acres of Snow,2011,2,2,60,120
232405,Western Legends,2018,2,6,60,90
105134,Risk Legacy,2011,3,5,60,60
246784,Cryptid,2018,3,5,30,50
257501,KeyForge  Call of the Archons,2018,2,2,15,45
195539,The Godfather  Corleone's Empire,2017,2,5,60,90
66362,Glen More,2010,2,5,45,70
176396,Quadropolis,2016,2,4,30,60
100901,Flash Point  Fire Rescue,2011,2,6,45,45
256960,Pax Pamir (Second Edition),2019,1,5,45,120
151347,Millennium Blades,2016,2,5,80,120
50,Lost Cities,1999,2,2,30,30
194594,Dice Forge,2017,2,4,45,45
25417,BattleLore,2006,2,2,60,60
18833,Lord of the Rings  The Confrontation (Deluxe Edition),2005,2,2,30,30
138161,Firefly  The Game,2013,1,4,120,240
63888,Innovation,2010,2,4,45,60
224783,Vindication,2018,2,5,45,150
27162,Kingsburg,2007,2,5,90,90
128996,1775  Rebellion,2013,2,4,60,120
165722,KLASK,2014,2,2,10,10
11170,Heroscape Master Set  Rise of the Valkyrie,2004,2,4,90,90
5404,Amun-Re,2003,3,5,90,90
157969,Sheriff of Nottingham,2014,3,5,60,60
250458,G\u00f9g\u014dng,2018,1,5,60,90
150658,Pandemic  The Cure,2014,2,5,30,30
246192,Gizmos,2018,2,4,40,50
137408,Amerigo,2013,2,4,90,90
146791,Shadows of Brimstone  City of the Ancients,2014,1,4,120,120
242302,Space Base,2018,2,5,60,60
111341,The Great Zimbabwe,2012,2,5,90,150
712,Blood Bowl (Third Edition),1994,2,2,180,180
128671,Spartacus  A Game of Blood & Treachery,2012,3,4,120,180
229220,Santa Maria,2017,1,4,45,90
209418,Dominion (Second Edition),2016,2,4,30,30
161614,Stockpile,2015,2,5,45,45
17226,Descent  Journeys in the Dark,2005,2,5,120,240
136063,\u05d4\u05de\u05d3\u05d1\u05e8 \u05d4\u05e0\u05e2\u05dc\u05dd,2013,2,5,45,45
83330,Mansions of Madness,2011,2,5,120,180
65781,London,2010,2,4,90,90
95527,Madeira,2013,2,4,60,150
215341,Thunderstone Quest,2018,2,4,60,90
875,Roads & Boats,1999,1,4,240,240
177639,Raptor,2015,2,2,25,25
34219,Scripts and Scribes,2007,2,4,30,30
187617,Nemo's War (Second Edition),2017,1,4,60,120
102652,Sentinels of the Multiverse,2011,2,5,30,60
192153,Pandemic  Reign of Cthulhu,2016,2,4,40,40
162082,Deus,2014,2,4,60,90
58421,Egizia,2009,2,4,90,90
170771,Sword & Sorcery  Immortal Souls,2017,1,5,60,90
183562,Star Wars  X-Wing Miniatures Game \u2013 The Force Awakens Core Set,2015,2,2,30,45
98778,Hanabi Deluxe,2010,2,5,25,25
62222,Commands & Colors  Napoleonics,2010,2,2,90,90
36553,Time's Up! Title Recall!,2008,4,18,60,60
105551,Archipelago,2012,2,5,30,240
155987,Abyss,2014,2,4,30,60
62227,Labyrinth  The War on Terror,2010,1,2,180,180
184921,Bunny Kingdom,2017,2,4,40,60
158899,Colt Express,2014,2,6,30,40
97786,Small World Underground,2011,2,5,30,90
13,The Settlers of Catan,1995,3,4,60,120
171668,The Grizzled,2015,2,5,30,30
150,PitchCar,1995,2,8,30,30
206941,First Class  All Aboard the Orient Express!,2016,2,4,40,80
133848,Euphoria  Build a Better Dystopia,2013,2,6,60,60
