objectid,name,category1,category2,category3,category4,category5,category6
234977,Capo della Mafia,card, Mafia,error,error,error,error
207063,Donkey Derby,Racing,error,error,error,error,error
19040,ChiZo Rising,Collectible, Fantasy, Fighting, Mythology,error,error
50995,The Toast of the Town,Ancient, War,error,error,error,error
153501,Mit Mist und T\u00fccke,Childrens Game,error,error,error,error,error
11292,Blood and Steel,War, War,error,error,error,error
5875,Last Battle  Twilight \u2013 2000,Sci_Fi, War,error,error,error,error
3468,Panzer Pranks,Humor, Adaptation, War, War,error,error
10258,Strike North,War, War,error,error,error,error
169984,Stowaway 52,Adventure, card, Puzzle, Sci_Fi,error,error
248695,Samurai Jack  Back to the Past,Adaptation, Mythology, Sci_Fi,error,error,error
8220,Civil War,American War, War,error,error,error,error
12539,Incognito,Deduction, Party Game,error,error,error,error
164838,Flip Hue,card,error,error,error,error,error
25168,Magellan,Economic, Educational, Exploration,error,error,error
88521,Pharaoh,strategy,error,error,error,error,error
150539,Big Picture Apples to Apples,Bluffing, card, Childrens Game, Humor, Party Game,error
173338,Pollen,Jeux Opla, Trefl Joker Line,error,error,error,error
103806,Existenz  On the Ruins of Chaos,card, Fantasy,error,error,error,error
201012,Chernobyl,Adventure, Environmental, Exploration,error,error,error
14236,Stretch Run,Animals, Racing, Sports,error,error,error
73232,DMZ  The Next Korean War,War, War,error,error,error,error
19028,Secret Tijuana Deathmatch,card, Fighting, Humor,error,error,error
10631,Age of Heroes,Ancient, card, Civilization, Educational, Print & Play,error
25924,Trivial Pursuit  Genus Edicion II (Spain),Party Game, Trivia,error,error,error,error
223971,H\u00e0nz\u00ec,card, Memory, Mythology,error,error,error
131448,H\u00f6chste Eisenbahn,card, Childrens Game, Trains,error,error,error
8471,Trenchfoot,War, War,error,error,error,error
9420,Hear 'N Seek,Childrens Game, Memory,error,error,error,error
18117,Schoko-Hexe,card, Childrens Game,error,error,error,error
53,Brauerei,Economic,error,error,error,error,error
3174,Titan Strike!,Fighting, Sci_Fi, War,error,error,error
128910,Pyramid Raiders,Ancient, Animals, Mythology,error,error,error
80942,Ranking,Bluffing, Deduction, Humor,error,error,error
193628,J'Accuse!,card, Humor, murder_mystery,error,error,error
3127,Age of Empires  Expandable Card Game,card, Collectible, Fighting, Medieval,error,error
56843,Fish! Fish!! Fish!,War,error,error,error,error,error
13576,Math Dice Tournament Kit,Educational, Math, Number,error,error,error
99166,Monza  Das Kartenspiel,card, Childrens Game, Racing,error,error,error
20138,Rotundo,card,error,error,error,error,error
32885,Sequence  States & Capitals,strategy, card, Educational,error,error,error
90460,OlymPeak,card, Mythology,error,error,error,error
221263,Space Invaders Dice!,Dice,error,error,error,error,error
173100,Monsters' Tower,Dexterity, Childrens Game, Real-time,error,error,error
65889,Zeven Card Zombie,card, Fighting, Horror, Medieval, Zombies,error
123930,Pint Craft,card, industry_manuf,error,error,error,error
258544,Marble Bobsleigh,Dexterity, Sports,error,error,error,error
37680,The Heavens of Olympus,Economic, Mythology,error,error,error,error
286535,#MyLife,card,error,error,error,error,error
94683,Coronation,Deduction, Adaptation,error,error,error,error
192017,Trivial Pursuit  The Big Bang Theory Edition,Adaptation, Party Game, Trivia,error,error,error
246744,Harry Potter Miniatures Adventure Game,Adventure, Fantasy, Miniatures, Adaptation, Adaptation,error
131163,The Visions of Johnny the Skull,Dexterity, Childrens Game, Electronic, Horror, Party Game,error
27876,La ira del drag\u00f3n,card, Collectible, Fantasy,error,error,error
153077,Kakerlakentanz,Dexterity, card, Childrens Game, Humor, Real-time,error
2645,Prize Property,City Building,error,error,error,error,error
5216,Space Master  Star Strike,Fighting, Sci_Fi,error,error,error,error
21294,NoNo,card, Dice, Trivia, Word Game,error,error
220642,This Belongs in a Museum,Adventure, Territory Building,error,error,error,error
9263,The Forgotten War  Korea,War, War,error,error,error,error
37142,There Must Be a Victory,War, War,error,error,error,error
6367,Make 7,strategy, Number,error,error,error,error
2616,Janus,card, Memory,error,error,error,error
143780,Texas Zombies,card, Horror, Party Game, Zombies,error,error
149078,Light Line,card, Real-time,error,error,error,error
6687,Lords Of The Middle Sea,Sci_Fi, War,error,error,error,error
13495,High Finance,Economic,error,error,error,error,error
11972,Monte Rolla,Childrens Game, Racing,error,error,error,error
76684,Launch Pad,card, industry_manuf, Sci_Fi,error,error,error
14119,Der Prestel Schlossgarten,Prestel Verlag,error,error,error,error,error
11149,It from the Pit,Dexterity, Electronic, Horror,error,error,error
11873,AMC Reel Clues,Adaptation, Trivia,error,error,error,error
2527,Attack Force,Sci_Fi, War,error,error,error,error
31138,Amazing Space Venture,Adventure, Humor, Sci_Fi, Space Exploration,error,error
2974,Scoop!,Economic,error,error,error,error,error
129290,YOU are the Maniac!,card, Horror, Humor, Adaptation, Print & Play,error
11974,Kipp,Dexterity, Childrens Game, War,error,error,error
