objectid,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic
90137,Area Majority / Influence, Card Drafting, Deck, Dice Rolling, Hand Management,NaN
144592,Area Majority / Influence, Auction/Bidding, Card Drafting, Modular Board, Worker Placement,NaN
70323,Card Drafting, Dice Rolling, King of the Hill, Player Elimination, Push Your Luck,NaN
199042,Cooperative Game, Deck, Variable Player Powers,NaN,NaN,NaN
154809,Area Majority / Influence, Variable Phase Order,NaN,NaN,NaN,NaN
234487,Action Points, Contracts, Deck, Variable Player Powers,NaN,NaN
286096,Dice Rolling, Hand Management, Solo / Solitaire Game, Tech Trees / Tech Tracks, Tile Placement, Track Movement
172,Auction/Bidding, Auction: Sealed Bid, Auction: Turn Order Until Pass, Hand Management, Selection Order Bid,NaN
55670,Action Points, Card Drafting, Dice Rolling, Hand Management, Network and Route Building, Pick-up and Deliver
204305,Cooperative Game, Solo / Solitaire Game, Storytelling,NaN,NaN,NaN
123123,Hand Management, Point to Point Movement, Simultaneous Action Selection, Variable Player Powers,NaN,NaN
256226,Card Drafting, Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement
66188,Action Queue, Grid Movement, Set Collection, Simultaneous Action Selection,NaN,NaN
15987,Cooperative Game, Dice Rolling, Hand Management, Point to Point Movement, Role Playing, Semi-Cooperative Game
192458,Card Drafting, Hand Management, Variable Phase Order, Worker Placement,NaN,NaN
166669,Hand Management, Set Collection, Variable Phase Order,NaN,NaN,NaN
40354,Hand Management, Point to Point Movement, Secret Unit Deployment, Simulation,NaN,NaN
219513,Card Drafting, Grid Coverage, Set Collection, Tile Placement,NaN,NaN
96913,Area Majority / Influence, Auction/Bidding, Voting, Worker Placement, Worker Placement,NaN
79828,Area Majority / Influence, Card Drafting, Deck, Hand Management, Point to Point Movement,NaN
232405,Action Points, Area Movement, Betting and Bluffing, Hand Management, Pick-up and Deliver, Take That
105134,Area Movement, Card Drafting, Dice Rolling, Legacy Game, Player Elimination, Variable Player Powers
246784,Hexagon Grid, Modular Board,NaN,NaN,NaN,NaN
257501,Hand Management, Take That,NaN,NaN,NaN,NaN
195539,Area Majority / Influence, Auction/Bidding, Card Drafting, Hand Management, Memory, Take That
66362,Commodity Speculation, Dice Rolling, Grid Movement, Rondel, Set Collection, Tile Placement
176396,Hand Management, Pattern Building, Set Collection, Tile Placement,NaN,NaN
100901,Action Points, Cooperative Game, Dice Rolling, Grid Movement, Pick-up and Deliver, Simulation
256960,Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Simulation,NaN
151347,Card Drafting, Commodity Speculation, Hand Management, Set Collection, Simulation, Trading
50,Hand Management, Score-and-Reset Game, Set Collection,NaN,NaN,NaN
194594,Card Drafting, Deck, Dice Rolling,NaN,NaN,NaN
25417,Campaign / Battle Card Driven, Command Cards, Dice Rolling, Grid Movement, Hand Management, Modular Board
18833,Area Movement, Hand Management, Secret Unit Deployment, Simultaneous Action Selection, Variable Player Powers,NaN
138161,Area Movement, Card Drafting, Dice Rolling, Pick-up and Deliver, Take That, Trading
63888,Hand Management, Melding and Splaying, Variable Phase Order,NaN,NaN,NaN
224783,Area Majority / Influence, Dice Rolling, Modular Board, Variable Phase Order,NaN,NaN
27162,Dice Rolling, Worker Placement with Dice Workers,NaN,NaN,NaN,NaN
128996,Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Team-Based Game, Variable Player Powers
165722,Action / Dexterity, Real-time,NaN,NaN,NaN,NaN
11170,Dice Rolling, Grid Movement, Line of Sight, Modular Board,NaN,NaN
