objectid,name,boardgamemechanic1,boardgamemechanic2,boardgamemechanic3,boardgamemechanic4,boardgamemechanic5,boardgamemechanic6
163068,Trickerion  Legends of Illusion,Action Points, Action Queue, Catch the Leader, Simultaneous Action Selection, Tile Placement, Turn Order: Stat-Based
104006,Village,Action Drafting, Contracts, Set Collection, Worker Placement, Worker Placement,NaN
118048,Targi,Modular Board, Set Collection, Turn Order: Progressive, Worker Placement,NaN,NaN
269385,The Lord of the Rings  Journeys in Middle-earth,Cooperative Game, Deck, Modular Board, Role Playing, Solo / Solitaire Game, Variable Player Powers
188920,This War of Mine  The Board Game,Action Points, Cooperative Game, Dice Rolling, Grid Movement, Push Your Luck, Role Playing
31627,Ticket to Ride  Nordic Countries,Card Drafting, Hand Management, Network and Route Building, Set Collection,NaN,NaN
199561,Sagrada,Card Drafting, Dice Rolling, Pattern Building, Set Collection,NaN,NaN
82222,Xia  Legends of a Drift System,Action Points, Dice Rolling, Grid Movement, Map Addition, Modular Board, Pick-up and Deliver
25021,Sekigahara  The Unification of Japan,Hand Management, Point to Point Movement, Secret Unit Deployment,NaN,NaN,NaN
244522,That's Pretty Clever,Dice Rolling, Paper-and-Pencil,NaN,NaN,NaN,NaN
148228,\u062c\u0648\u0627\u0647\u0631\u064a,Card Drafting, Contracts, Set Collection,NaN,NaN,NaN
9216,Goa  A New Expedition,Auction/Bidding, Auction: Once Around, Hand Management, Push Your Luck,NaN,NaN
215,Tichu,Betting and Bluffing, Hand Management, Ladder Climbing, Team-Based Game,NaN,NaN
223321,Detective  A Modern Crime Board Game,Cooperative Game, Solo / Solitaire Game, Storytelling,NaN,NaN,NaN
129437,Legendary  A Marvel Deck Building Game,Deck, Events, Semi-Cooperative Game, Solo / Solitaire Game, Variable Setup,NaN
146886,La Granja,Area Majority / Influence, Automatic Resource Growth, Dice Rolling, Hand Management, Income, Simultaneous Action Selection
176189,Zombicide  Black Plague,Cooperative Game, Dice Rolling, Modular Board, Variable Player Powers,NaN,NaN
463,Magic  The Gathering \u2013 White Planeswalkers Ajani Goldmane,Hand Management, Take That,NaN,NaN,NaN,NaN
188,Go,Enclosure,NaN,NaN,NaN,NaN,NaN
555,The Princes of Florence,Auction/Bidding, Grid Coverage, Tile Placement,NaN,NaN,NaN
27833,Steam,Auction/Bidding, Loans, Network and Route Building, Pick-up and Deliver, Tile Placement,NaN
9209,Ticket to Ride \u0633\u0643\u0629 \u0633\u0641\u0631,Card Drafting, Hand Management, Network and Route Building, Set Collection,NaN,NaN
128621,Viticulture,Hand Management, Turn Order: Progressive, Worker Placement,NaN,NaN,NaN
182631,Star Realms  Colony Wars,Card Drafting, Deck, Hand Management, Take That,NaN,NaN
12,Ra,Auction/Bidding, Auction: Once Around, Constrained Bidding, Push Your Luck, Set Collection,NaN
54998,Cyclades,Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Dice Rolling, Set Collection
822,Carcassonne,Area Majority / Influence, Map Addition, Tile Placement,NaN,NaN,NaN
109276,Kanban  Driver's Edition,Action Points, Commodity Speculation, Variable Phase Order, Worker Placement,NaN,NaN
20551,Shogun,Action Queue, Area Majority / Influence, Area Movement, Auction/Bidding, Cube Tower, Simultaneous Action Selection
31481,Galaxy Trucker,Dice Rolling, Events, Real-Time, Relative Movement, Team-Based Game, Tile Placement
