sort_index,object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,average,complexity,siteviews,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,users_rated
4646,10662,Victoria Cross,2004,2,2,120,120,7.0043,2.3333,61291,Post-War, War,na,na,na,na,Area Movement, Dice Rolling, Secret Unit Deployment, Simulation,na,na,200
4647,151835,Qwixx  Das Kartenspiel,2014,2,5,15,15,6.37998,1.15,18017,card,na,na,na,na,na,Card Drafting, Hand Management,na,na,na,na,364
4648,218126,Whozit?,2017,3,8,20,30,6.80341,1,9567,Deduction, Negotiation, Party Game,na,na,na,Cooperative Game,na,na,na,na,na,229
4649,255037,\u7267\u87f2\u4eba\u751f,2018,2,4,45,45,6.55207,2.6667,51008,Animals, Farming,na,na,na,na,Area Majority / Influence, Dice Rolling, Take That, Worker Placement,na,na,394
4650,192830,ORC,2017,2,2,10,10,6.54958,1.75,14388,card, Fantasy, Fighting,na,na,na,Area Majority / Influence, Hand Management, Set Collection,na,na,na,317
4651,104640,Robin Hood,2011,3,5,50,50,7.1068,1.4706,54229,Bluffing, Humor, Medieval, Party Game,na,na,Hand Management, Role Playing,na,na,na,na,194
4652,269967,EXIT  Das Spiel \u2013 Die K\u00e4nguru-Eskapaden,2019,1,4,45,90,7.40922,2.25,4327,Deduction,na,na,na,na,na,Cooperative Game,na,na,na,na,na,154
4653,30958,Check Your 6!,2007,2,12,120,120,7.76614,2.6818,66973,Aviation, Miniatures, War, War,na,na,Simulation, Simultaneous Action Selection,na,na,na,na,127
4654,183420,Kung Fu Zoo,2016,2,4,10,10,6.75092,1,34533,Dexterity, Animals, Dice, Fighting, Sports,na,Action / Dexterity, Animals, Dice, Fighting, Sports,na,271
4655,245444,Holding On  The Troubled Life of Billy Kerr,2018,2,4,45,60,6.3256,2.4167,119799,card, Medical, Memory, murder_mystery, Puzzle,na,Cooperative Game, Set Collection, Storytelling, Worker Placement,na,na,531
4656,268890,Proving Grounds,2019,1,2,30,45,6.9989,2,49020,Dice, Real-time,na,na,na,na,Dice Rolling,na,na,na,na,na,209
4657,311,Time Agent,1992,2,6,180,360,6.70789,3.4583,70464,Sci_Fi,na,na,na,na,na,Variable Player Powers,na,na,na,na,na,256
4658,56995,The Twelve Doctors  Doctor Who Card Game,2009,2,2,30,30,7.69658,2.375,79646,card, Fighting, Adaptation, Sci_Fi,na,na,Hand Management,na,na,na,na,na,146
4659,34334,Waterloo 20,2008,2,2,50,50,6.97854,2.2,54896,War, War,na,na,na,na,Hexagon Grid,na,na,na,na,na,205
4660,124047,Pirate Dice  Voyage on the Rolling Seas,2012,2,4,30,60,6.18115,1.6667,89845,Dice, War, Pirates,na,na,na,Action Queue, Dice Rolling, Modular Board, Simultaneous Action Selection,na,na,521
4661,85800,Octopus' Garden,2011,2,4,45,45,6.70011,1.5,50433,Animals,na,na,na,na,na,Set Collection, Tile Placement,na,na,na,na,264
4662,199047,Cobras,2017,1,5,30,45,6.90381,2,17388,card,na,na,na,na,na,Trick-taking,na,na,na,na,na,223
4663,36986,All Things Zombie  The Boardgame,2009,1,6,40,40,6.18406,2.5385,298231,Fighting, Horror, Sci_Fi, War, Zombies,na,Chit-Pull System, Cooperative Game, Hexagon Grid,na,na,na,540
4664,66437,Souvlaki Wars,2011,2,4,30,30,6.44317,1.5455,36879,card, Humor,na,na,na,na,Card Drafting, Hand Management,na,na,na,na,400
4665,214204,ARGH,2017,2,4,10,15,6.94938,1.1429,18399,Animals, Bluffing, card, Deduction,na,na,Push Your Luck, Set Collection, Take That,na,na,na,226
4666,5711,Squad Seven,2002,2,4,20,20,6.40679,1.3182,48029,Dexterity, Adventure, card, Real-time,na,na,Hand Management,na,na,na,na,na,371
4667,40234,Einauge sei wachsam!,2009,2,5,45,45,6.30203,1.8182,27956,card, Pirates,na,na,na,na,Set Collection,na,na,na,na,na,418
4668,8325,The Desert Fox,1981,2,2,120,120,7.19562,3.3214,54209,War, War,na,na,na,na,Hexagon Grid, Simulation,na,na,na,na,176
4669,240744,Fire in the Library,2019,1,6,15,30,6.82009,1.4545,23185,card,na,na,na,na,na,Hand Management, Push Your Luck,na,na,na,na,275
4670,29678,Munchkin Quest,2008,2,4,180,180,5.88379,2.5146,274498,Adventure, Exploration, Fantasy, Fighting, Humor,na,Dice Rolling, Modular Board, Role Playing,na,na,na,3516
4671,1412,Trendy,2000,2,5,20,20,6.19628,1.1,38873,card,na,na,na,na,na,Set Collection,na,na,na,na,na,504
4672,6508,Tom Tube,2003,2,2,30,30,6.28177,2.2778,47116,Sci_Fi,na,na,na,na,na,Network and Route Building, Point to Point Movement, Tile Placement,na,na,na,420
4673,747,Bitter Woods,1998,2,2,240,240,6.90524,3.1935,60817,War, War,na,na,na,na,Hexagon Grid,na,na,na,na,na,210
4674,8017,Feurio!,2003,1,4,30,30,6.13791,2,50331,strategy, Environmental,na,na,na,na,Modular Board, Tile Placement,na,na,na,na,562
4675,5255,Gorkamorka,1997,2,4,120,120,6.502,2.7895,72315,Fantasy, Humor, Miniatures, War,na,na,Dice Rolling,na,na,na,na,na,350
4676,458,Sherlock Holmes  The Card Game,1991,3,8,60,60,6.25058,1.4694,80932,card, murder_mystery, Adaptation,na,na,na,Card Game, Murder/Mystery, Novel-based,na,na,na,513
4677,20734,Corsair Leader,2005,1,2,120,120,7.53497,2.1875,94184,Aviation, Print & Play, War, War,na,na,Simulation,na,na,na,na,na,161
4678,148531,Polterfass,2013,3,6,20,20,6.37708,1.5833,22944,Dice,na,na,na,na,na,Dice Rolling, Push Your Luck, Simultaneous Action Selection,na,na,na,383
4679,178494,Dutch Blitz  Blue Expansion Pack,2014,2,4,10,15,7.1684,1.6667,6991,card, Real-time,na,na,na,na,Pattern Building,na,na,na,na,na,212
4680,89342,Tomorrow,2013,4,6,90,90,6.38931,2.6957,133188,Bluffing, Environmental, War, Negotiation, Political, Sci_Fi,Area Majority / Influence, Card Drafting, Hand Management, Simultaneous Action Selection, Take That, Team-Based Game,450
4681,279644,Peloponnesian War,2019,1,2,90,240,7.97629,3.95,73322,Ancient, War,na,na,na,na,Dice Rolling, Point to Point Movement, Simulation,na,na,na,130
